,address,wallet_address,moniker,oustanding_commisison,outstanding_rewards,withdrawn_commission,withdrawn_rewards,accumulated_commission,accumulated_rewards,total
0,fxvaloper1dlm4kp90axktn7ywg68ueaa4uyjddnnxjxkwk8,fx1dlm4kp90axktn7ywg68ueaa4uyjddnnx6ht3g8,Sydney,21.05731411812075,10.114773503194401,0.0,0.0,21.05731411812075,10.114773503194401,31.17208762131515
1,fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,fx1hnavkdy0ep629tlwt32x82qsssx9yyvp8pj34t,Porto,0.15474384066238658,5.753663502645826,0.0,0.0,0.15474384066238658,5.753663502645826,5.9084073433082125
2,fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,fx1znc46yl5g39yxt5nc8rls7lqz6f9tpu5n57rc9,Kigali,0.7458589849094054,9.786231858957803,0.0,0.0,0.7458589849094054,9.786231858957803,10.53209084386721
3,fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,fx18xj9zy4wx96r73kqfqtm95jtpxdrw7uuwxk227,Lagos,0.7302600654056374,9.331720671139617,0.0,0.0,0.7302600654056374,9.331720671139617,10.061980736545255
4,fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,fx1hl5s5tycshsklqyv88ednwmr3hc90wmqwxhwx2,SanSalvador,0.6618088482693159,7.943059797882871,0.0,0.0,0.6618088482693159,7.943059797882871,8.604868646152187
5,fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,fx194wzf8rxucjt3hmesv6ccf5z5s8ss4h2tu7ya0,Asosiasi Blockchain Indonesia,5997.3182067601165,10.83892773370763,0.0,0.0,5997.3182067601165,10.83892773370763,6008.157134493824
6,fxvaloper1fvrkqzf795p4hh36hwy8rq57ywv5kwyxjax8cf,fx1fvrkqzf795p4hh36hwy8rq57ywv5kwyx6vmcxf,Blockchain Collaborative Consortium,8115.774097520912,10.987311693694378,0.0,0.0,8115.774097520912,10.987311693694378,8126.761409214606
7,fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,fx1as2rwvnayy30pzjy7aw35dcsja6g98nd007cjp,European University Cyprus,6451.8889188448375,10.970090953740668,0.0,0.0,6451.8889188448375,10.970090953740668,6462.859009798578
8,fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,fx1pcr9h9evn05rpussq9wahmerqjh380mef2dgdp,wolfpack,9.075576913372826e-06,10.970090953740668,63.66730417573237,0.0006472126660212001,63.66731325130928,10.970738166406688,74.63805141771597
9,fxvaloper18fgf79wgudvg2xz9kdqa2u6z88qmqpvw28eym5,fx18fgf79wgudvg2xz9kdqa2u6z88qmqpvwzkym95,Alif,49.056833584548535,0.0,0.0,0.0,49.056833584548535,0.0,49.056833584548535
10,fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,fx1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwq965lex,EA31337,126.76966526545088,15.791442260713666,538.5960763598918,43.679271772130846,665.3657416253426,59.47071403284451,724.8364556581871
11,fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,fx1c0gnd02hwatfukgcux5f3hvhutcfj9kdy37yzj,Cogni,307.166383367799,2.6157910571138725,1212.7656050068417,7.239659877214539,1519.9319883746407,9.855450934328411,1529.7874393089692
12,fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,fx1nammyssvfumll85kx6fwwje3qy3pkpvkxqf7e9,Nammy,281.6315201045021,2.353962503757061,1406.3364785594479,6.513845229576005,1687.9679986639499,8.867807733333066,1696.835806397283
13,fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,fx1lgzkn292ap2a4t8dvsq0cf5qfkkuplcn269vjp,Allif,1018.4379846655002,163.79056555205028,29.52323222496295,604.6329782319427,1047.961216890463,768.423543783993,1816.384760674456
14,fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,fx1umj9xqdv7q2quvtks8j66mwrj9wcfqp4ak8lkn,ClaudioxBarros,935.9632374420481,52.640066982933355,2204.7868186536116,49.90793477559872,3140.7500560956596,102.54800175853208,3243.2980578541915
15,fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,fx1z67rkadwrp2nf4zwxpktpqnw969plely6rfzpt,FrenchXCore-1,1878.4326093558054,431.5543526593493,1937.346655886447,517.7345583951401,3815.779265242252,949.2889110544894,4765.0681762967415
16,fxvaloper1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6nck2w6,fx1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6mft4s6,AquillaX,199.26016815603077,476.2818131216266,324.4957349477138,599.2551414934619,523.7559031037446,1075.5369546150885,1599.2928577188331
17,fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,fx19psvqem8jafc5ydg4cnh0t2m04ngw9gfg8y88u,Blindgotchi,4840.612266866981,10.30765327524943,0.0,0.0,4840.612266866981,10.30765327524943,4850.919920142231
18,fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,fx1jcwagrc7gxpsr3xhvtvwek4kyx3m7q850rml8c,Rock,386.04220852373436,12.938400576943499,0.0,0.0,386.04220852373436,12.938400576943499,398.98060910067784
